Time resolution is 1 ps
第 23 行数据的第 3 位为 0
第 23 行数据的第 4 位为 0
第 23 行数据的第 5 位为 0
第 23 行数据的第 6 位为 0
第 23 行数据的第 7 位为 0
第 24 行数据的第 0 位为 0
第 24 行数据的第 1 位为 0
第 24 行数据的第 2 位为 0
第 24 行数据的第 3 位为 0
第 24 行数据的第 4 位为 0
第 24 行数据的第 5 位为 0
第 24 行数据的第 6 位为 0
第 24 行数据的第 7 位为 0
第 25 行数据的第 0 位为 0
第 25 行数据的第 1 位为 0
第 25 行数据的第 2 位为 0
第 25 行数据的第 3 位为 0
第 25 行数据的第 4 位为 0
第 25 行数据的第 5 位为 0
第 25 行数据的第 6 位为 0
第 25 行数据的第 7 位为 0
第 26 行数据的第 0 位为 0
第 26 行数据的第 1 位为 0
第 26 行数据的第 2 位为 0
第 26 行数据的第 3 位为 0
第 26 行数据的第 4 位为 0
第 26 行数据的第 5 位为 0
第 26 行数据的第 6 位为 0
第 26 行数据的第 7 位为 0
第 27 行数据的第 0 位为 0
第 27 行数据的第 1 位为 0
第 27 行数据的第 2 位为 0
第 27 行数据的第 3 位为 0
第 27 行数据的第 4 位为 0
第 27 行数据的第 5 位为 0
第 27 行数据的第 6 位为 0
第 27 行数据的第 7 位为 0
第 28 行数据的第 0 位为 0
第 28 行数据的第 1 位为 0
第 28 行数据的第 2 位为 0
第 28 行数据的第 3 位为 0
第 28 行数据的第 4 位为 0
第 28 行数据的第 5 位为 0
第 28 行数据的第 6 位为 0
第 28 行数据的第 7 位为 0
第 29 行数据的第 0 位为 0
第 29 行数据的第 1 位为 0
第 29 行数据的第 2 位为 0
第 29 行数据的第 3 位为 0
第 29 行数据的第 4 位为 0
第 29 行数据的第 5 位为 0
第 29 行数据的第 6 位为 0
第 29 行数据的第 7 位为 0
第 30 行数据的第 0 位为 0
第 30 行数据的第 1 位为 0
第 30 行数据的第 2 位为 0
第 30 行数据的第 3 位为 0
第 30 行数据的第 4 位为 0
第 30 行数据的第 5 位为 0
第 30 行数据的第 6 位为 0
第 30 行数据的第 7 位为 0
第 31 行数据的第 0 位为 0
第 31 行数据的第 1 位为 0
第 31 行数据的第 2 位为 0
第 31 行数据的第 3 位为 0
第 31 行数据的第 4 位为 0
第 31 行数据的第 5 位为 0
第 31 行数据的第 6 位为 0
第 31 行数据的第 7 位为 0
第 32 行数据的第 0 位为 0
第 32 行数据的第 1 位为 1
第 32 行数据的第 2 位为 1
第 32 行数据的第 3 位为 1
第 32 行数据的第 4 位为 1
第 32 行数据的第 5 位为 1
第 32 行数据的第 6 位为 1
第 32 行数据的第 7 位为 1
第 33 行数据的第 0 位为 0
第 33 行数据的第 1 位为 0
第 33 行数据的第 2 位为 0
第 33 行数据的第 3 位为 0
第 33 行数据的第 4 位为 0
第 33 行数据的第 5 位为 0
第 33 行数据的第 6 位为 0
第 33 行数据的第 7 位为 0
第 34 行数据的第 0 位为 1
第 34 行数据的第 1 位为 0
第 34 行数据的第 2 位为 0
第 34 行数据的第 3 位为 0
第 34 行数据的第 4 位为 0
第 34 行数据的第 5 位为 0
第 34 行数据的第 6 位为 0
第 34 行数据的第 7 位为 1
第 35 行数据的第 0 位为 0
第 35 行数据的第 1 位为 0
第 35 行数据的第 2 位为 0
第 35 行数据的第 3 位为 0
第 35 行数据的第 4 位为 0
第 35 行数据的第 5 位为 0
第 35 行数据的第 6 位为 0
第 35 行数据的第 7 位为 0
